"20", "EUR/SAR", "f", "Euro -> Saudi Arabian Riyal"
"29", "EUR/SEK", "f", "Euro -> Swedish Krona"
"1", "EUR/USD", "f", "Euro -> US Dollar"
"518", "GBP/CHF", "f", "Great British Pound -> Swiss Franc"
"516", "GBP/EUR", "f", "Great British Pound -> Euro"
"532", "GBP/JOD", "f", "Great British Pound -> Jordanian Dinar"
"517", "GBP/JPY", "f", "Great British Pound -> Japanese Yen"
"543", "GBP/SAR", "f", "Great British Pound -> Saudi Arabian Riyal"
"2", "GBP/USD", "f", "Great British Pound -> US Dollar"
"515", "JPY/CHF", "f", "Japanese Yen -> Swiss Franc"
"11", "NZD/USD", "f", "New Zealand Dollar -> US Dollar"
"9", "USD/CAD", "f", "US Dollar -> Canadian Dollar"
"3", "USD/CHF", "f", "US Dollar -> Swiss Franc"
"13", "USD/DKK", "f", "US Dollar -> Danish Krone"
"5", "USD/EGP", "f", "US Dollar -> Egyptian Pound"
"6", "USD/JOD", "f", "US Dollar -> Jordanian Dinar"
"4", "USD/JPY", "f", "US Dollar -> Japanese Yen"
"12", "USD/NOK", "f", "US Dollar -> Norwegian Krone"
"7", "USD/QAR", "f", "US Dollar -> Qatar Riyal"
"15", "USD/SAR", "f", "US Dollar -> Saudi Arabian Riyal"
"14", "USD/SEK", "f", "US Dollar -> Swedish Krona"
"30", "USD/SGD", "f", "US Dollar -> Singapore Dollar"
"16", "USD/TND", "f", "US Dollar -> Tunisian Dinar"
"74", "USD/ZAR", "f", "US Dollar -> South African Rand"
"17", "EUR/EGP", "f", "Euro -> Egyptian Pound"
"18", "EUR/JOD", "f", "Euro -> Jordanian Dinar"
"19", "EUR/QAR", "f", "Euro -> Qatar Riyal"
"59", "EUR/TND", "f", "Euro -> Tunisian Dinar"
"533", "JOD/CHF", "f", "Jordanian Dinar -> Swiss Franc"
"530", "JOD/JPY", "f", "Jordanian Dinar -> Japanese Yen"
"537", "QAR/GBP", "f", "Qatar Riyal -> Great British Pound"
"536", "QAR/JPY", "f", "Qatar Riyal -> Japanese Yen"
"544", "SAR/CHF", "f", "Saudi Arabian Riyal -> Swiss Franc"
"541", "SAR/JPY", "f", "Saudi Arabian Riyal -> Japanese Yen"
"549", "TND/CHF", "f", "Tunisian Dinar -> Swiss Franc"
"548", "TND/GBP", "f", "Tunisian Dinar -> Great British Pound"
"547", "TND/JPY", "f", "Tunisian Dinar -> Japanese Yen"
"772", "AEX", "i", "Netherlands AEX"
"27", "AMMEKS", "i", "XAX"
"773", "ASE", "i", "Greece Athex"
"771", "ATX", "i", "Austrian ATX index"
"775", "BEL20", "i", "Belgium index"
"776", "BET", "i", "Bucharest index"
"779", "BOVESPA", "i", "Brazil index"
"777", "BUX", "i", "Budapest index"
"505", "Brent", "i", "ICE Brent index"
"24", "CAAC-40", "i", "CAC"
"21", "D&J-Ind", "i", "INDU"
"25", "DAAX", "i", "DAXI"
"503", "DJE50XX", "i", "Dow Jones European 50"
"345", "Futsee-100", "i", "UKX-FTSE"
"502", "H-Kong", "i", "Hong Kong"
"780", "IEOP", "i", "Irish index"
"782", "IMV", "i", "Argentina index"
"783", "INDER10", "i", "Chile index"
"784", "JKT", "i", "Jakarta index"
"785", "JSE", "i", "South African index"
"786", "KLS", "i", "Kuala Lumpur index"
"504", "Light", "i", "Light Sweet Crude?"
"787", "MIB", "i", "Italian index"
"789", "MMVB", "i", "Russian MICEX index"
"788", "MMVB10", "i", "Russian MICEX 10 index"
"500", "N225Jap", "i", "Nikkei 255"
"23", "NQ-100", "i", "NDX"
"26", "NQ-comp", "i", "COMPQ"
"790", "NZX", "i", "New Zealand index"
"28", "Nyssee-comp|i", "NYA"
"791", "OBX", "i", "Norwegian index"
"793", "OMXC20", "i", "Copenhagen index"
"792", "OMXH25", "i", "Helsinki 25 index"
"794", "OMXS30", "i", "Stockholm index"
"795", "PSI", "i", "Portugal index"
"796", "PSX", "i", "Prague index"
"798", "RTS", "i", "Russian RTS index"
"797", "RUT", "i", "Ruussell 2000 index"
"501", "SC-Korea", "i", "Korea"
"799", "SENSEX", "i", "Bombay index"
"800", "SET", "i", "Thai index"
"801", "SSE", "i", "Shanghai index"
"802", "STI", "i", "Singapore index"
"225", "SWMI", "i", "SWITZERLAND"
"22", "SandP-500", "i", "Standard and Poors"
"803", "TAIEX", "i", "Taiwan index"
"804", "TOPIX", "i", "Japan Topix index"
"770", "TRAN", "i", "TRAN"
"805", "TSX", "i", "Canadian TSX index"
"768", "VIXX", "i", "Volatility"
"806", "WIG", "i", "Poland WIG index"
